utterance_id	From	To	File	Id	String id	Year of birth	Sex	Education	Place of birth	Place of living	Left Context	DMatch	Right Context
22637	436994	442204	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	Если мужик бросает сапоги чи валенки какие (	якие	),
22651	501797	504732	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	В	колхозе	были коровы тоже все мокрые.
22659	534522	538262	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	Ну, живут в лесу звери какие (	якие	),
22723	842482	846179	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	стояли тут рабочие в этом,	доме	,
22724	846252	848182	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	где у Люды (	Люде	) сарай сейчас.
22727	856339	861929	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	И говорит: тётя Валя, а что это у вас на ферме, говорит, доярка в чёрном	платке	?
22734	879012	884287	2019_zarechje_via1941_1_3_44-62		via1941	1941	f	n/d	Николаево	Заречье	И говорила: лежали в этом, в онкологическом деба =	диспансере	
22798	0	3930	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну я, после войны и работала в	колхозе	.
22832	117939	121361	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	На Пасху. Уже на Пасху - то пятьдесят девятом, в	марте	.
22838	142652	148369	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Детей у нас, мальчик тот (тэй) больший - то, этот (этый), на	тракторе	[нрзб].
22891	356879	363338	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	И был = и было свиней много во	дворе	. Коров доила, дети были, и это всё было.
22893	370594	374512	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	А пас = паствить, коли снег растанет, в	апреле	.
23011	879258	885138	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	И вот тогда (тады), после тех (тых) пор, и [не] это, ничего в	колхозе	не делали в этот (этый) праздник.
23018	922954	924094	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	В, в	июне	.
23019	926302	927016	2019_zhanvil_pds1932_1_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	В	июне	.
23075	63013	69333	2019_zarechje_ndr_1_5		ndr1934	1934	f	8 классов	Мурашки	Заречье	Пелёнки понесла к ручью мыть, это в	марте	месяце, он например этот (этый) родился в марте.
23075	63013	69333	2019_zarechje_ndr_1_5		ndr1934	1934	f	8 классов	Мурашки	Заречье	Пелёнки понесла к ручью мыть, это в марте	месяце	, он например этот (этый) родился в марте.
23075	63013	69333	2019_zarechje_ndr_1_5		ndr1934	1934	f	8 классов	Мурашки	Заречье	Пелёнки понесла к ручью мыть, это в марте месяце, он например этот (этый) родился в	марте	.
23080	103170	110110	2019_zarechje_ndr_1_5		ndr1934	1934	f	8 классов	Мурашки	Заречье	Ну конечно, сглаз = сглазить это можно была, сглаживали, уж и оно и сейчас есть, это (	этое	) сглаживание.
23160	132690	135780	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	Ну и что я скажу, в	клубе	обычно тут (тута) гуляли.
23240	493313	497402	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	На танцах, ти на	гульне	на какой (якей), а на работе.
23263	594357	597745	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	всю жизнь проработал на	тракторе	, на дизеле.
23263	594357	597745	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	всю жизнь проработал на тракторе, на	дизеле	.
23265	603728	607338	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	Вот, и он работал всю жизнь на этом	тракторе	.
23314	805737	809036	2019_stajki_vnz1948_2		vnz1948	1948	f	n/d	Стайки	Стайки	Видишь, как (як) мы, а мы живём в этом	доме	.
23337	63455	65964	2018_stajki_kfb1929_4_58-77		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	А дюжа в моём	возрасте	, таком (таким),
23477	578900	581280	2018_stajki_kfb1929_4_58-77		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	А какие (	якие	) те (тые) хорошие, плохие.
23536	799162	805306	2018_stajki_kfb1929_4_58-77		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Ну и всё, а чи родня они какие (	якие	), чи нет, я не знаю, не буду говорить, не знаю.
23564	929355	931695	2018_stajki_kfb1929_4_58-77		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	А, это (	этое	) гадание!
23628	67899	72259	2019_Malye_Xutora_zvp1934_1		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Лечили. Это то (	тое	) было, что лечили, оно (ино) всё прошло (пройшло).
23687	277688	279188	2019_Malye_Xutora_zvp1934_1		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Отец на	фронте	погиб.
23758	496475	500025	2019_Malye_Xutora_zvp1934_1		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну, мы, у нас не поймёшь, какие (	якие	), какое (якое) что.
23775	557572	562572	2019_Malye_Xutora_zvp1934_1		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну может, какие (	якие	) которые, может, старые, дак и богу молились, кто их ведает.
23892	942175	944215	2019_Malye_Xutora_zvp1934_1		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Уже совсем не то (	тое	).
23901	26288	33283	2019_zarechje_ndr_2_3		ndr1934	1934	f	8 классов	Мурашки	Заречье	Ну только (тока) это по всему так знают, ну а в	разговоре	бабушка, внучек.
23930	246518	255798	2019_zarechje_ndr_2_3		ndr1934	1934	f	8 классов	Мурашки	Заречье	таму’ штъ э’та	систрины’е	де’ти ани’ шчыта’юца дваю'ръдными бра’т там систра’ двай... двъюро’дными
24018	193206	195516	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Вот какие (	якие	) сваты были!
24030	229698	231523	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Да, в	колхозе	.
24069	395778	398888	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Ну, какие (	якие	) мы праздники праздновали раньше?
24112	575229	578943	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	брала в	колхозе	. Подавала заявление.
24129	667489	670914	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	А, после зимы, в мае	месяце	.
24149	761703	766153	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	в	магазине	торговала тоже, это наша деревенская.
24177	864574	869194	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Пособрали там какие - то (	якие	- то) где только коляски, какие - то (якие - то) катки. Что оно там?
24177	864574	869194	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Пособрали там какие - то (якие - то) где только коляски, какие - то (	якие	- то) катки. Что оно там?
24187	902869	908124	2019_zarechje_zie1942_1_1		zie1942	1942	f	n/d	Заречье	Заречье	Ну а потом в следующее воскресенье развивали их назад, какие (	якие	) эти (этые).
24262	282545	284045	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	В	доме	у меня всё нормально.
24274	318581	321078	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Даже на воде, на	колодце	заговаривала.
24279	333959	337206	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	То говорит, вода бурлит, прямо как кипяток, в	колодце	.
24379	720880	723991	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Внуки. И скотина на	доме	, и всё.
24395	779929	781316	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	Оставить это всё в	покое	.
24476	1069577	1074044	2019_zhanvil_kkd1952_4_1		kkd1952	1952	f	техникум	Гута	Жанвиль	С	отре	=, ну, сделала этот (етый). Поотрубил.
24516	77299	82712	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	И в одном побольше отверстие. Вот мы в то (	тое	) отверстие, худенькие такие были, залезали.
24563	249313	251017	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	Вот в нашей	округе	как - то.
24573	278230	279893	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	В	сапоге	была, и вот тут вот выше.
24596	364311	370549	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	Не, у нас не было. У нас один год тоже, ну тогда (тъда) кто что говорил, сказали, что телята были, вот тут в	загоне	дык.
24612	422796	425721	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	в	колхозе	два ти три осталось, всё, больше их и нет.
24617	446231	449039	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	Были. Только тоже уже	посте	= потихоньку они (яны)
24618	449573	452515	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	уходят. У нас сейчас, вы не знаете, в	Корзове	там
24643	552557	557312	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	Я, говорит, вот лягу (ляжу) спать, мне, говорит, как будто кто ночью во	сне	это всё расскажет.
24647	565683	568793	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	И вот всё, как будто туман всё вот в	доме	.
24686	688402	690164	2019_zarechje_lva1963_1_3		lva1963	1963	f	техникум	Заречье	Заречье	У его, говорит, грыжа в	пупке	.
24833	281451	287071	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Свой не свой, чужой - всё равно же в деревне в одном выросли в	колхозе	, правда? Под одной крышей, как говорится.
24885	453491	457206	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Да, в	колхозе	. У меня пятеро детей - всё в колхозе работают, все пять.
24885	453491	457206	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Да, в колхозе. У меня пятеро детей - всё в	колхозе	работают, все пять.
24886	457719	460742	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Покойник работал, и четыре дочки работают в	колхозе	.
24890	473398	476818	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Цветы, подарок, что мои дети остались в	колхозе	.
24926	596230	599910	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Представляете, как - то вот живёшь в	доме	.
24937	629387	632817	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	становишься в таком разом	шоке	, что думаешь:
24958	693630	695444	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Солнце где, а люди уже (ужо) во	дворе	спят.
24961	703733	705674	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Кто в	колхозе	прожил в деревне,
24966	721124	723114	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Хочешь, чтоб мои ногти остались в	огоредне	(?).
24969	742187	744780	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Моя краска что, стоит в	магазине	.
25078	1112600	1115340	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Завалился навзничь в	водопое	, там, в воде, ну,
25104	1205153	1207394	2019_zhanvil_kkd1952_2		kkd1952	1952	f	техникум	Гута	Жанвиль	Ну, на	самолёте	[нрзб] не поднялись.
25225	188898	193381	2019_zhanvil_rgs1937_3		rgs1937	1937	f	n/d	Рудня	Жанвиль	И вижу во	сне	- вот с которым я прожила, пятьдесят три года я с ним прожила.
25407	884496	887491	2019_zhanvil_rgs1937_3		rgs1937	1937	f	n/d	Рудня	Жанвиль	А она (ина) у него, змея эта, в	сарае	была.
25408	888547	892928	2019_zhanvil_rgs1937_3		rgs1937	1937	f	n/d	Рудня	Жанвиль	Жила, наверное, в	сарае	. И как (як) эта змея,
25595	112662	115057	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Какие (	якие	) под =? Не было это подарков, да.
25597	122833	126525	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Я как раз. Морозы - морозы были в	феврале	месяце.
25597	122833	126525	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Я как раз. Морозы - морозы были в феврале	месяце	.
25652	348022	351062	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Один рядом, а другие в Хиславичах, в	поселке	.
25653	350388	351795	2018_stajki_nib1935_2_16-33		vvb1936	1936	f	n/d	Максимовка	Стайки	В	поселе	живет.
25675	438717	439653	2018_stajki_nib1935_2_16-33		vvb1936	1936	f	n/d	Максимовка	Стайки	В каждом	доме	.
25708	562720	566070	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Ну конечно. А что будет стоять в	сарае	?
25725	611384	612890	2018_stajki_nib1935_2_16-33		vvb1936	1936	f	n/d	Максимовка	Стайки	Мы, мы это (	этое	).
25754	743666	746695	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Может, где - нибудь и были какие (	якие	) колдуны, кто их знает?
25759	767140	771390	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Ну, на	базаре	, на базаре продавали коров, коней.
25759	767140	771390	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Ну, на базаре, на	базаре	продавали коров, коней.
25787	865211	869537	2018_stajki_nib1935_2_16-33		nib1935	1935	m	n/d	Стайки	Стайки	Можем, начали рыбу ловить в	магазине	п =. А от рыбы человек умнеет.
25875	249264	254315	2019_zhanvil_rgs1937_1		rgs1937	1937	f	n/d	Рудня	Жанвиль	Белоруссия уже началась. Парадино, Парадино то (	тое	) тоже половина спалили.
25947	586527	590541	2019_zhanvil_rgs1937_1		rgs1937	1937	f	n/d	Рудня	Жанвиль	На	севере	большие отпуска дают, она (ина) в школе работала.
25955	626747	631004	2019_zhanvil_rgs1937_1		rgs1937	1937	f	n/d	Рудня	Жанвиль	хоть у них и в	доме	туалет, дак мне ж надо его, до того я
26003	862919	867316	2019_zhanvil_rgs1937_1		rgs1937	1937	f	n/d	Рудня	Жанвиль	Прямо на работе. В	заводе	он работал, на заводе.
26003	862919	867316	2019_zhanvil_rgs1937_1		rgs1937	1937	f	n/d	Рудня	Жанвиль	Прямо на работе. В заводе он работал, на	заводе	.
26280	1013823	1020295	2019_zarechje_zie1942_1_3		zie1942	1942	f	n/d	Заречье	Заречье	дужа так она (ина) не рассказывала, что вот надо то (	тое	) сде =, ти то (тое) говорите. Она (ина) не.
26280	1013823	1020295	2019_zarechje_zie1942_1_3		zie1942	1942	f	n/d	Заречье	Заречье	дужа так она (ина) не рассказывала, что вот надо то (тое) сде =, ти то (	тое	) говорите. Она (ина) не.
26319	69316	77677	2019_zhanvil_kkd1952_5		kkd1952	1952	f	техникум	Гута	Жанвиль	А донести (донесть)? Я говорю, донеси. Куды? В Смоленск. Мы ржали коло неё. А где это будет? Будете жить у меня на	балконе	в Смоленске.
26350	272369	280516	2019_zhanvil_kkd1952_5		kkd1952	1952	f	техникум	Гута	Жанвиль	вот, с дома вышел, лес - ягода, а теперь, одна лес = одна ягодина тут, в начале де = улицы, а другая в	конце	улицы.
26373	399459	402368	2019_zhanvil_kkd1952_5		kkd1952	1952	f	техникум	Гута	Жанвиль	в я	годе	в этой, сама красная - красная.
26383	475249	482720	2019_zhanvil_kkd1952_5		kkd1952	1952	f	техникум	Гута	Жанвиль	И есть (ёсь) дальше [нрзб] есть (ёсь) в деревне, спросите, там тоже будут старые люди находиться, там тоже в	круге	есть (ёсь),
26388	502166	508201	2019_zhanvil_kkd1952_5		kkd1952	1952	f	техникум	Гута	Жанвиль	Через Сож вот сюда (сюды) вот, вот, ехали на	автобусе	, вот Бахаревка тут написано, и вот Жанвиль,
26396	23240	30340	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Говорили, что закрыли. Больше не существует, не работает. Раньше столько групп было на первом	курсе	.
26431	159110	163200	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну сваты, в сваты он приезжал ко мне у = в	марте	месяце.
26431	159110	163200	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну сваты, в сваты он приезжал ко мне у = в марте	месяце	.
26433	169120	173570	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну дак они (яны) в	марте	приезжали, а в мае была свадьба, девятого мая.
26438	187572	188619	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	В	колхозе	в этом.
26448	217170	220180	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	ну танц =, ну, во всяком	случае	было веселей.
26466	301305	303345	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну раньше вот в	колхозе	был
26471	318580	322140	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	и молодёжи - то никого нет и какие (	якие	) тут праздники, ну так вот когда (къда)
26475	336233	340762	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	в	ресторане	там где - то в хиславичах расписались там, погуляли моложёжь, ну и всё.
26488	387940	391160	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	на	автобусе	отправляют в Смоленск на этот (этый) на пункт.
26490	397270	399570	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	У нас уже на гармошке, тут ти и на	баяне	.
26514	485182	490304	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Даровали пода = как (як) они на = называли, подар = подарковые эти, какие (	якие	) они там.
26537	578401	586180	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ой, я уже не по =. Я частушки - то я и не по =, девочки, не помню, какие (	якие	) они что пели. Бабы эти (этыя), может, быть старые помнят, а я, мне уже,
26539	588515	590951	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Я даже и не знаю, какие (	якие	) они их и пели.
26566	708984	716484	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	закидывали, когда (къда) вот едет расписываться, ну, может, они и в загсе, мы с мужиком дак в	сельсовете	расписывались вообще.
26567	717064	724478	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну видно ж видно всё равно, хоть меня и на Урале ехали, кукла там сидела на этом, на	капоте	посадили, привязали.
26586	795293	802743	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	И садили на, вот на капот, была у нас сидела на	капоте	, лентами привязали её, эта кукла сидела, значит, невеста эта едет в этой машине
26600	846112	851282	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ну и тогда (тъда), когда (къда) сваты были, помню, тоже ж на	дизеле	приехали.
26608	878267	881267	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Рано ж вышла, восемнадцать годов только было, в	марте	было
26635	979432	986832	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Не, я ж знала, мы ж дружили с ним, я ж в	техникуме	училась, ещё на танцы ходили в эту в Растегаевку.
26638	993422	998272	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Наверно ж, ну года два мы дружили, я ещё техникум кончала, я на третьем	курсе	вышла замуж.
26640	1001672	1003692	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Ещё в	колхозе	год проработала.
26642	1009022	1015042	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Так, встречались, мы ж дружили, на танцы, и он (ён) приездал ко мне туда (туды) и в	Шанталове	, и замужем же я уже (ужо) была в техникуме.
26642	1009022	1015042	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Так, встречались, мы ж дружили, на танцы, и он (ён) приездал ко мне туда (туды) и в Шанталове, и замужем же я уже (ужо) была в	техникуме	.
26666	1109663	1113753	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	во всяком	случае	такого вот не было, как сейчас, что поживут...
26699	1209517	1211482	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	кота в	мешке	на всю жизню брал.
26702	1224423	1228633	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	ну на танцы, ну она (ина) в	принципе	так, вот эта деревня хоть, ну если напрямик сюда,
26710	1243443	1249373	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	Там тоже клуб такой был, ну какие (	якие	) раньше там танцы под магнитофон, если десять человек, то это уже танцы, танцуем.
26717	1272562	1275422	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	А	колхозе	на машине работал, раньше ж это ж было,
26720	1279960	1285152	2019_zarechje_lva1963_1_1		lva1963	1963	f	техникум	Заречье	Заречье	на	кузове	тоже, и мальцев, и девок, и... Господи, сколько. Ну раньше, ну сколько было народу - то.
26738	53402	56542	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	На	огне	. Ну, в кастрюле пока скиснется,
26752	102677	105767	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	и говорит, нате, вот моя свекра какие (	якие	) делает сыры.
26778	198899	203609	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну они (яны), наверное, не на	бензине	работали, видно, на керасине еще работали.
26842	449422	454907	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	меня вперёд какие - то (	якие	- то) приходили, тоже, как (як) образовалась деревня Малый Хутор.
26876	584490	587210	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Лён, лён сеяли в	колхозе	, всё.
26878	591640	594118	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	а в	колхозе	сеяли.
26920	777078	779787	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Мяли, трепали. В	колхозе	ж тоже,
26930	809490	812373	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Я буду ткать, а так я не	уме	=, не могла ещё
26949	868070	871835	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну то (	тое	), даже неохота то (тое) вспоминать Даже неохота.
26949	868070	871835	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Ну то (тое), даже неохота то (	тое	) вспоминать Даже неохота.
26969	938005	942353	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	и хлеб, всё приносил, и пенсию	пенсионе	=, этот (этый).
27016	1097032	1099023	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Какие (	якие	) тут ягоды, я в этой,
27030	1156303	1161239	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Тогда (тады) вот стали троху работать, хоть работали в	колхозе	на трудодни.
27031	1161572	1165372	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Денег же не было в	колхозе	, ну трудодни дак давали, если
27080	1329242	1335414	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	Раньше устраивали, клуб был в Стайках, где - то в	центре	там (тама) в Расстегаевке устраивают.
27127	1498455	1500196	2018_Malye_Xutora_zvp1934_1_3		zvp1934	1934	f	4 класса	Николаево	Малые Хутора	А тогда (тады) то (	тое	) будет видно.
27177	52073	53840	2018_stajki_kfb1929_5_77-95		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	то (	тое	) б, не знаю, чи ели.
27179	60717	63613	2018_stajki_kfb1929_5_77-95		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	то (	тое	) все такое. Есть (ёсть) чего.
27330	753425	758793	2018_stajki_kfb1929_5_77-95		kfb1929	1929	f	6 классов	Малые Хутора	Стайки	Там рубили, чи какие (	якие	) уже лес надо было, доски.
27506	504824	508297	2019_zhanvil_pds1932_5_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	В	колхозе	свиней приглядала, овец паствила.
27517	549825	555285	2019_zhanvil_pds1932_5_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну, там, если, тогда (тады) в	конце	года они доплачивают, если все теля =.
27521	564677	566731	2019_zhanvil_pds1932_5_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну тогда (тады) в	конце	, в конце года.
27521	564677	566731	2019_zhanvil_pds1932_5_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ну тогда (тады) в конце, в	конце	года.
27522	569635	574856	2019_zhanvil_pds1932_5_1		pds1932	1932	f	4 класса	Шипы	Жанвиль	А было, было и, и работала, и в	конце	года двенадцать тысяч получала.
27601	410282	412204	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	Да, но всё равно в	доме	,
27774	1049585	1052005	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	А вечером потопит, тёпленько будет у вас в	доме	.
27788	1105541	1109624	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	Дров навалом там в	сарае	, целое, девчонки, вот что.
27877	1481712	1487021	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	В	сарае	дрова. Вот в этом сарае, девчата, дрова заготовлены там.
27877	1481712	1487021	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	В сарае дрова. Вот в этом	сарае	, девчата, дрова заготовлены там.
27901	1698720	1703279	2019_stajki_nnm1955_0		nnm1955	1955	f	техникум	Микшино	Стайки	Внучка три дня была. Ну то огурцов выберут, то то надо, то то (	тое	).
27965	81186	85211	2019_zhanvil_pds1932_2_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	Ай, и тогда (тады), ти то (	тое	) чем, сейчас же у =,
27989	170005	172635	2019_zhanvil_pds1932_2_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	А теперь же они (яны) не делают тут это (	этое	).
28066	468517	472506	2019_zhanvil_pds1932_2_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	мы и в [нрзб] на этот (этый), на	перекрёстке	на этом.
28240	1048036	1051316	2019_zhanvil_pds1932_2_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	ти эти (етыя), ти пульки какие (	якие	), какие (якие) что.
28240	1048036	1051316	2019_zhanvil_pds1932_2_2		pds1932	1932	f	4 класса	Шипы	Жанвиль	ти эти (етыя), ти пульки какие (якие), какие (	якие	) что.
